year,age,race,sex,marital,educ,degree,sibs,agekdbrn,coninc,region,partyid,wrkstat,hrs1,earnrs,happy,health,relig,attend,postlife,socrel,news,tvhours,satjob,class,satfin,polviews,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,fear,owngun,hunt,gunlaw,grass,courts,fepol,fefam,fehire,vote_last_pres_election
1998,84,white,male,married,14,high school,1,24,NA,south,strong republican,retired,NA,0,very happy,excellent,protestant,several times a year,iap,iap,iap,NA,iap,middle class,pretty well satisfied,conservative,a great deal,only some,only some,hardly any,hardly any,hardly any,hardly any,only some,hardly any,only some,a great deal,a great deal,a great deal,no,yes,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
1998,57,white,female,married,14,high school,3,20,58849,midwest,"independent, close to republican",working full time,50,2,pretty happy,excellent,protestant,every week,yes,once or twice a week,a few times a week,0,a little dissatisfied,middle class,more or less satisfied,conservative,only some,only some,only some,only some,hardly any,hardly any,hardly any,only some,hardly any,hardly any,don't know,hardly any,only some,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,strongly disagree,iap,voted
2018,36,white,female,married,12,high school,2,17,57832.5,south,"independent, close to republican",keeping house,NA,1,pretty happy,iap,protestant,every week,yes,never,a few times a week,2,very satisfied,working class,not satisfied at all,"moderate, middle of the road",only some,only some,a great deal,only some,only some,only some,hardly any,only some,hardly any,only some,only some,hardly any,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,strongly agree,did not vote
1998,69,white,male,married,12,high school,2,28,48149,west,not very strong republican,working full time,35,2,pretty happy,excellent,protestant,several times a year,yes,iap,iap,2,moderately satisfied,middle class,more or less satisfied,"moderate, middle of the road",only some,only some,only some,a great deal,only some,only some,a great deal,a great deal,a great deal,a great deal,a great deal,only some,only some,no,yes,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,48,other,female,married,12,high school,1,23,38555,west,strong democrat,keeping house,NA,2,very happy,excellent,muslim/islam,about once or twice a year,yes,about once a month,once a week,3,very satisfied,working class,more or less satisfied,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",don't know,iap,too harshly,disagree,agree,iap,voted
1998,61,white,male,married,14,high school,4,27,48149,west,strong republican,working full time,45,2,very happy,good,catholic,less than once a year,yes,several times a year,a few times a week,5,very satisfied,middle class,more or less satisfied,liberal,only some,a great deal,only some,only some,only some,hardly any,only some,only some,only some,a great deal,a great deal,a great deal,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,strongly disagree,iap,voted
2018,54,white,female,married,18,bachelor's,1,25,38555,west,not very strong republican,working part time,3,2,very happy,iap,catholic,every week,yes,once or twice a week,every day,1,very satisfied,working class,more or less satisfied,conservative,only some,a great deal,a great deal,a great deal,a great deal,only some,only some,only some,only some,a great deal,a great deal,only some,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,strongly disagree,strongly disagree,voted
1998,28,white,female,widowed,11,less than high school,6,21,40124,midwest,not very strong democrat,keeping house,NA,1,pretty happy,good,none,about once a month,no,iap,iap,5,moderately satisfied,middle class,pretty well satisfied,liberal,a great deal,a great deal,hardly any,only some,only some,a great deal,a great deal,only some,only some,only some,a great deal,only some,a great deal,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,did not vote
1998,56,white,female,married,12,high school,3,22,48149,south,"independent (neither, no response)",keeping house,NA,3,pretty happy,excellent,catholic,about once a month,no,several times a month,once a week,4,moderately satisfied,middle class,more or less satisfied,don't know,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,about right,disagree,agree,iap,did not vote
2018,22,white,male,never married,12,high school,3,NA,NA,northeast,"independent, close to democrat",working part time,22,2,pretty happy,good,protestant,never,yes,iap,iap,NA,very satisfied,working class,not satisfied at all,slightly liberal,only some,only some,a great deal,only some,only some,only some,hardly any,a great deal,a great deal,only some,only some,only some,a great deal,no,no,"no, neither r nor spouse hunts",favor,don't know,not harshly enough,iap,iap,iap,voted
2018,42,white,male,married,18,graduate,2,34,84120,south,"independent, close to republican",working full time,50,2,pretty happy,good,none,never,no,iap,iap,NA,very satisfied,middle class,more or less satisfied,liberal,a great deal,a great deal,only some,a great deal,a great deal,only some,only some,a great deal,only some,a great deal,a great deal,only some,a great deal,no,yes,"no, neither r nor spouse hunts",oppose,should be legal,about right,iap,iap,iap,voted
2018,49,black,female,never married,16,bachelor's,3,27,38555,south,strong democrat,working full time,40,3,pretty happy,good,catholic,2-3 times a month,yes,once or twice a week,less than once a week,3,very satisfied,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,too harshly,agree,disagree,agree,voted
1998,39,white,female,married,15,associate/junior college,6,21,72223,west,"independent, close to republican",working full time,56,3,pretty happy,good,catholic,2-3 times a month,yes,iap,iap,1,very satisfied,working class,not satisfied at all,"moderate, middle of the road",only some,a great deal,a great deal,only some,only some,only some,hardly any,a great deal,only some,a great deal,only some,only some,only some,no,yes,"yes, spouse does",oppose,should not be legal,not harshly enough,iap,iap,iap,voted
2018,NA,white,female,married,12,high school,3,NA,14896.249999999998,south,"independent (neither, no response)",working part time,16,1,pretty happy,good,protestant,2-3 times a month,don't know,several times a month,never,0,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",oppose,iap,don't know,agree,disagree,iap,did not vote
1998,73,white,female,married,12,high school,6,35,NA,south,"independent (neither, no response)",keeping house,NA,1,pretty happy,good,catholic,several times a week,don't know,about once a year,every day,4,moderately satisfied,middle class,more or less satisfied,"moderate, middle of the road",a great deal,only some,a great deal,a great deal,only some,don't know,only some,a great deal,only some,a great deal,a great deal,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,agree,agree,iap,voted
1998,36,white,male,married,11,high school,6,23,34774,northeast,"independent (neither, no response)",working full time,45,3,very happy,good,catholic,never,iap,iap,iap,NA,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",only some,only some,hardly any,only some,a great deal,don't know,only some,only some,a great deal,only some,only some,only some,a great deal,no,no,"no, neither r nor spouse hunts",favor,should not be legal,about right,iap,iap,iap,voted
2018,80,white,male,married,16,bachelor's,5,23,70100,west,strong republican,retired,NA,0,very happy,iap,catholic,every week,yes,several times a year,every day,3,iap,middle class,pretty well satisfied,conservative,a great deal,a great deal,a great deal,only some,only some,hardly any,hardly any,a great deal,only some,a great deal,a great deal,hardly any,a great deal,iap,iap,iap,iap,should be legal,about right,agree,agree,agree,voted
1998,73,white,female,married,11,high school,5,19,20062,south,"independent, close to democrat",keeping house,NA,1,pretty happy,poor,protestant,2-3 times a month,yes,about once a month,every day,6,very satisfied,working class,not satisfied at all,"moderate, middle of the road",only some,only some,a great deal,only some,only some,hardly any,hardly any,only some,only some,only some,don't know,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,agree,disagree,iap,did not vote
1998,69,white,male,married,16,bachelor's,0,24,106998,west,strong republican,retired,NA,0,very happy,excellent,protestant,less than once a year,don't know,several times a year,every day,2,iap,middle class,more or less satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, respondent does",oppose,iap,not harshly enough,agree,agree,iap,voted
2018,38,other,female,never married,16,bachelor's,1,NA,70100,west,not very strong democrat,working full time,40,1,very happy,excellent,none,never,yes,iap,iap,NA,moderately satisfied,middle class,more or less satisfied,slightly liberal,only some,a great deal,only some,only some,only some,don't know,only some,only some,only some,a great deal,a great deal,hardly any,only some,yes,yes,"no, neither r nor spouse hunts",favor,should be legal,don't know,iap,iap,iap,did not vote
1998,71,white,female,married,9,less than high school,6,18,NA,south,strong republican,keeping house,NA,0,not too happy,good,protestant,nearly every week,no,almost daily,once a week,8,moderately satisfied,working class,more or less satisfied,extremely liberal,a great deal,only some,only some,only some,don't know,only some,only some,only some,a great deal,a great deal,only some,don't know,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,strongly agree,iap,voted
2018,39,white,female,married,14,associate/junior college,1,28,47317.5,west,not very strong democrat,working part time,30,2,pretty happy,excellent,catholic,several times a year,yes,iap,iap,NA,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,yes,no,"no, neither r nor spouse hunts",favor,should be legal,not harshly enough,iap,iap,iap,voted
2018,70,other,female,married,15,associate/junior college,6,22,38555,south,no answer,retired,NA,2,very happy,iap,protestant,every week,no answer,almost daily,once a week,4,iap,don't know,pretty well satisfied,"moderate, middle of the road",hardly any,only some,don't know,don't know,don't know,hardly any,hardly any,hardly any,only some,hardly any,hardly any,hardly any,hardly any,iap,iap,iap,iap,don't know,don't know,disagree,disagree,neither agree nor disagree,voted
1998,62,white,male,married,12,high school,4,28,58849,south,"independent, close to republican",working full time,56,2,very happy,excellent,protestant,nearly every week,yes,iap,iap,1,very satisfied,middle class,more or less satisfied,"moderate, middle of the road",hardly any,a great deal,a great deal,only some,hardly any,hardly any,hardly any,a great deal,hardly any,only some,only some,only some,a great deal,no,yes,"yes, respondent does",oppose,should not be legal,not harshly enough,iap,iap,iap,voted
2018,57,white,male,married,15,associate/junior college,2,27,152135.07879,south,strong republican,working full time,75,2,very happy,iap,none,several times a year,no,several times a month,never,1,very satisfied,middle class,pretty well satisfied,conservative,a great deal,only some,only some,hardly any,only some,hardly any,hardly any,a great deal,only some,a great deal,only some,hardly any,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,agree,disagree,agree,voted
